128465869,3,120,20210408163706
120887250,3,355,20210408163706
122526742,3,119,20210408163706
128851534,3,367,20210408163706
125485446,3,367,20210408163706
128190590,3,301,20210408163706
128465869,3,120,20210408155804
120887250,3,355,20210408155804
122526742,3,119,20210408155804
128851534,3,367,20210408155804
125485446,3,367,20210408155804
128190590,3,301,20210408155804
128465869,3,120,20210408161204
120887250,3,355,20210408161204
122526742,3,119,20210408161204
128851534,3,367,20210408161204
125485446,3,367,20210408161204
128190590,3,301,20210408161204
128465869,3,120,20210408162505
120887250,3,355,20210408162505
122526742,3,119,20210408162505
128851534,3,367,20210408162505
125485446,3,367,20210408162505
128190590,3,301,20210408162505
128465869,3,120,20210408154804
120887250,3,355,20210408154804
122526742,3,119,20210408154804
128851534,3,367,20210408154804
125485446,3,367,20210408154804
128190590,3,301,20210408154804
128465869,3,120,20210408161905
120887250,3,355,20210408161905
122526742,3,119,20210408161905
128851534,3,367,20210408161905
125485446,3,367,20210408161905
128190590,3,301,20210408161905
128465869,3,120,20210408153503
120887250,3,355,20210408153503
122526742,3,119,20210408153503
128851534,3,367,20210408153503
125485446,3,367,20210408153503
128465869,3,120,20210408161605
120887250,3,355,20210408161605
122526742,3,119,20210408161605
128851534,3,367,20210408161605
125485446,3,367,20210408161605
128465869,3,120,20210408162005
120887250,3,355,20210408162005
122526742,3,119,20210408162005
128851534,3,367,20210408162005
125485446,3,367,20210408162005
128465869,3,120,20210408155704
120887250,3,355,20210408155704
122526742,3,119,20210408155704
128851534,3,367,20210408155704
125485446,3,367,20210408155704
128465869,3,120,20210408160404
120887250,3,355,20210408160404
122526742,3,119,20210408160404
128851534,3,367,20210408160404
125485446,3,367,20210408160404
128465869,3,120,20210408162805
120887250,3,355,20210408162805
122526742,3,119,20210408162805
128851534,3,367,20210408162805
125485446,3,367,20210408162805
128465869,3,120,20210408153403
120887250,3,355,20210408153403
122526742,3,119,20210408153403
128851534,3,367,20210408153403
125485446,3,367,20210408153403
128465869,3,120,20210408160904
120887250,3,355,20210408160904
122526742,3,119,20210408160904
128851534,3,367,20210408160904
125485446,3,367,20210408160904
128465869,3,120,20210408163906
120887250,3,355,20210408163906
122526742,3,119,20210408163906
